"IDART","DEF","PMPA","CODE","NOTA","CCOMPT_ACH","COMPO","IDRAY","IDFAM","IDSSFAM","DERPRIX","CCOMPT_VENT","FRAIS","TYP_FRAIS","Q_MINI","Q_MAXI","Q_APPRO","IMAGE","PESE","FIN_BONUS","DEBUT_BONUS","COCCIBONUS","FIN_RBT","DEBUT_RBT","NUM_PROMO","PA_PROMO","FIN_PROMO","DEBUT_PROMO","PREPARATION","IDCODE_TVA","PRIX_TTC","PRIX_PROMO","NO_PROMO","REMISE_IMMEDIATE","NO_SOLDE","NO_COM_VEND","NO_REMISE","PTS_FIDEL","COMP_DEF","GES_STOCK","ID_FAB","SOMMEIL","IDCOULEUR","IDTAILLE","IDMODELE","GES_NO_SERIE","OCCAS","WEB","MODIF","IDCODE_TVA_ACH","ABANDON","PSTVA2","IDCode_TVA2","OEUVRE_ART","POIDS","ACHETE","GRATUIT","PRESTATION","ECOTAX","NO_COM_PREST","IDSAISON","COM_PREPA","PRN_PREPA","Abonnement","N_Unite","DUREE_VALIDITE","DUREE_GARANTIE","LOCATION","DLV","TEMPS_PREPA","MAJ","DUREE_ABON","NO_IMPRIM","CREATION","VAL_PRESTATION","IDCOnsigne","IDART_COUPON","COUPON","NO_COM_REP","Billet","N_TALON","TIMBRE","N_TalonFixe","NO_FIDEL","MAJ_WEB","MAJ_TRSFT","VENTE_BLOQUE","IDAUX","PressingVente","Colisage","Coef_Com","PRixNulAutorise","PrixNegatif","CondVente","Unite","Volume","DegreAlcool","IDCATEGORIE_ALCOOL","Premix","BaseHT","Consigne","Tare","CUMP","SOLDE_OLD","ID_BEBAT1","ID_BEBAT2","ID_RECUPEL","Caution","BA","CCVENTE_CEE","CCVENTE_HORS_CEE","CCVENTE_EXO","Q_HAXE","PREPA_CARACT_SP","CREDIT_TEMPS","IDBAR_ECO","CAT_SOLDES","IDReM_ART","CCACHAT_CEE","CCACHAT_HORS_CEE","CCACHAT_EXO","CODE_NC","PVC","COLORIS","NEGOCE","OPTIONS","ArticlePropre","REmisePromo"
"2","BOITE A DOSETTES CAFE ""GORGE CLOUNET""","3.3","","","606000000","0","1","1","3","3.3","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.2","0","0","0","0","1","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","","0","0","0","0","42915.61935185185","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","8.5","0","0","3.3","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"7","PLAT A BROCHETTES BBQ","8.9","","","606000000","0","1","7","13","8.9","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","22.25","0","0","0","0","1","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","","0","0","0","0","42931.42251157408","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","18.54","0","0","8.9","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"8","COFFRET 6 TASSES A CAFE QUALITE ","9.5","","","606000000","0","1","6","12","9.5","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","23.75","0","0","0","0","1","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","","0","0","0","0","42931.42274305555","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","19.79","0","0","9.5","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"10","BOITE A CAFE METAL PERE COLATEUR ","4.2","","","606000000","0","1","1","3","4.2","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.5","0","0","0","0","0","0","1","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42931.42290509259","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","PCE","0","0","0","0","8.75","0","0","4.2","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"11","COFFRET 2 MUGS PERE COLATEUR ","4.5","","","606000000","0","1","6","12","4.5","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","11.25","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42956.68400462963","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","","PCE","0","0","0","0","9.380000000000001","0","0","4.5","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"12","MUGS THE MA COPINE ","2.6","","","606000000","0","1","6","12","2.6","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","6.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.68185185185","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","5.42","0","0","2.6","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"13","SAC ISOTHERME GOUTER L'HEURE DU GOUTER ","2.5","","","606000000","0","1","7","12","2.5","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","6.25","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.68228009259","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","5.21","0","0","2.5","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"14","COFFRET BBQ BARBECUE COMBAT ","13.5","","","606000000","0","1","1","2","13.5","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","33.9","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.68778935185","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","28.25","0","0","13.5","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"15","MUG POUR UNE MAMAN QUI DECHIRE  ","2.6","","","606000000","0","1","6","12","2.6","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","6.5","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42863.54825231482","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","5.42","0","0","2.6","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
"16","3 BOITES A THE EMPILABLES TON AMI","4","","","606000000","0","1","1","3","4","706000000","0","1","0","0","0","","0","","","0","","","","0","","","0","1","10.4","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","42886.68920138889","0A0","0","42863","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","","","0","0","0","0","8.67","0","0","4","0","0","0","0","0","0","","","","0","0","0","0","0","0","","","","","0","0","0","0","0","0"
